time,title,company,county,distinct,exeperience,education,wage,url
2023/4/23,數據資料分析工程師,緯育股份有限公司,新北市,汐止區,2年以上,大學,45000,https://www.104.com.tw/job/75a2b?jobsource=jolist_a_relevance
2023/4/23,Data Analyst / 資料分析師,瑞嘉軟體科技股份有限公司,台北市,內湖區,1年以上,大學,106668,https://www.104.com.tw/job/6toi3?jobsource=jolist_a_relevance
2023/4/23,Sr. DBA (資料庫管理師/資料分析師)- 外商筆電大廠 853,"經緯智庫股份有限公司 (MGR Consulting Co., Ltd.)",台北市,南港區,5年以上,專科,135000,https://www.104.com.tw/job/7x6l5?jobsource=jolist_a_relevance
2023/4/23,軟體工程師_ETL 資料分析程式設計師_102H,金財通商務科技服務股份有限公司,台北市,松山區,經歷不拘,大學,45000,https://www.104.com.tw/job/7mj20?jobsource=jolist_a_relevance
2023/4/23,資料分析研究員【TGH008 大江基因_基因研發中心】,大江基因醫學股份有限公司,台北市,內湖區,2年以上,碩士,45000,https://www.104.com.tw/job/7tlna?jobsource=jolist_a_relevance
2023/4/23,研究專員-農政中心(農糧企業訪談/農糧資料分析),財團法人農業科技研究院,台北市,大安區,經歷不拘,碩士,44000,https://www.104.com.tw/job/7n8b7?jobsource=jolist_a_relevance
2023/4/23,ESG專案資料分析_副研究員,台灣經濟新報文化事業股份有限公司,台北市,信義區,1年以上,大學,45000,https://www.104.com.tw/job/7ky4o?jobsource=jolist_a_relevance
2023/4/23,《數位轉型》資深資料分析師(Data Analyst),裕隆集團_格上汽車租賃股份有限公司,新北市,新店區,3年以上,大學,65000,https://www.104.com.tw/job/7nogi?jobsource=jolist_a_relevance
2023/4/23,資深資料分析師 (Senior Data Analyst),華翰物產實業股份有限公司,台北市,中山區,3年以上,大學,55000,https://www.104.com.tw/job/7sg5r?jobsource=jolist_a_relevance
2023/4/23,資安工程師 (SOC L3大數據資料分析師),數聯資安股份有限公司,台北市,內湖區,2年以上,專科,45000,https://www.104.com.tw/job/7mlzl?jobsource=jolist_a_relevance
2023/4/23,【數據發展中心】數據資料分析師,遠見天下文化出版股份有限公司,台北市,中山區,1年以上,專科,45000,https://www.104.com.tw/job/7nin1?jobsource=jolist_a_relevance
2023/4/23,2023_A+種子暑期實習_大數據與資料分析(龍潭),友達光電股份有限公司,桃園市,龍潭區,經歷不拘,大學,41500,https://www.104.com.tw/job/7x1v4?jobsource=jolist_a_relevance
